,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
7452,4680,4,Apartment,17/04/2018,18/04/2018,30/05/2018,Community Housing,212,1,42,43,GLADSTONE,GLADSTONE,2018,2018-05
7454,4209,2,Apartment,20/04/2018,3/05/2018,10/05/2018,Community Housing,204,13,7,20,GOLD COAST,COOMERA,2018,2018-05
7455,4006,1,Apartment,2/03/2018,16/05/2018,16/05/2018,Community Housing,108,75,0,75,BRISBANE,MCCONNEL,2018,2018-05
7457,4210,4,Apartment,20/04/2018,27/04/2018,1/05/2018,Community Housing,204,7,4,11,GOLD COAST,COOMERA,2018,2018-05
7458,4122,3,Detached House,23/03/2018,29/03/2018,9/05/2018,Community Housing,107,6,41,47,BRISBANE,MANSFIELD,2018,2018-05
7461,4012,3,Apartment,24/04/2018,2/05/2018,2/05/2018,Community Housing,105,8,0,8,BRISBANE,NUDGEE,2018,2018-05
7462,4019,2,Apartment,27/04/2018,1/05/2018,11/05/2018,Community Housing,110,4,10,14,MORETON BAY,REDCLIFFE,2018,2018-05
7463,4163,2,Detached House,20/04/2018,11/05/2018,11/05/2018,Community Housing,106,21,0,21,REDLAND,OODGEROO,2018,2018-05
7466,4006,1,Attached Housing,17/05/2018,18/05/2018,18/05/2018,Community Housing,108,1,0,1,BRISBANE,BRISBANE CENTRAL,2018,2018-05
7467,4006,1,Apartment,10/05/2018,11/05/2018,11/05/2018,Community Housing,108,1,0,1,BRISBANE,BRISBANE CENTRAL,2018,2018-05
7469,4350,2,Detached House,15/05/2018,22/05/2018,29/05/2018,Community Housing,207,7,7,14,TOOWOOMBA,TOOWOOMBA SOUTH,2018,2018-05
7470,4810,2,Apartment,28/03/2018,17/04/2018,22/05/2018,Community Housing,201,20,35,55,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7471,4163,1,Detached House,4/04/2018,4/05/2018,4/05/2018,Community Housing,106,30,0,30,REDLAND,OODGEROO,2018,2018-05
7473,4053,1,Apartment,16/04/2018,21/05/2018,21/05/2018,Community Housing,108,35,0,35,BRISBANE,FERNY GROVE,2018,2018-05
7474,4305,3,Apartment,6/04/2018,13/04/2018,15/05/2018,Community Housing,102,7,32,39,IPSWICH,IPSWICH WEST,2018,2018-05
7475,4800,1,Apartment,2/05/2018,3/05/2018,4/05/2018,Community Housing,203,1,1,2,WHITSUNDAY,WHITSUNDAY,2018,2018-05
7476,4800,1,Detached House,8/05/2018,8/05/2018,22/05/2018,Community Housing,203,0,14,14,WHITSUNDAY,WHITSUNDAY,2018,2018-05
7479,4053,3,Senior Unit,1/05/2018,8/05/2018,8/05/2018,Community Housing,105,7,0,7,BRISBANE,EVERTON,2018,2018-05
7480,4160,3,Detached House,9/05/2018,22/05/2018,22/05/2018,Community Housing,106,13,0,13,REDLAND,OODGEROO,2018,2018-05
7481,4220,2,Senior Unit,6/04/2018,26/04/2018,3/05/2018,Community Housing,204,20,7,27,GOLD COAST,BURLEIGH,2018,2018-05
7482,4305,4,Senior Unit,28/03/2018,4/04/2018,16/05/2018,Community Housing,102,7,42,49,IPSWICH,IPSWICH WEST,2018,2018-05
7483,4215,3,Detached House,26/04/2018,10/05/2018,21/05/2018,Community Housing,204,14,11,25,GOLD COAST,BONNEY,2018,2018-05
7485,4810,1,Senior Unit,24/05/2018,25/05/2018,30/05/2018,Community Housing,201,1,5,6,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7486,4121,3,Dual Occupancy,15/05/2018,18/05/2018,28/05/2018,Community Housing,107,3,10,13,BRISBANE,GREENSLOPES,2018,2018-05
7487,4812,1,Senior Unit,10/05/2018,15/05/2018,22/05/2018,Community Housing,201,5,7,12,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7488,4031,2,Detached House,24/04/2018,24/04/2018,14/05/2018,Community Housing,105,0,20,20,BRISBANE,STAFFORD,2018,2018-05
7489,4575,3,Detached House,18/04/2018,9/05/2018,9/05/2018,Community Housing,205,21,0,21,SUNSHINE COAST,KAWANA,2018,2018-05
7490,4670,4,Apartment,18/04/2018,23/04/2018,4/05/2018,Community Housing,208,5,11,16,BUNDABERG,BUNDABERG,2018,2018-05
7491,4215,2,Detached House,11/05/2018,17/05/2018,21/05/2018,Community Housing,204,6,4,10,GOLD COAST,BONNEY,2018,2018-05
7492,4700,2,Apartment,20/02/2018,6/03/2018,1/05/2018,Community Housing,206,14,56,70,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7493,4814,2,Apartment,8/05/2018,14/05/2018,27/05/2018,Community Housing,201,6,13,19,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7494,4860,3,Apartment,4/05/2018,10/05/2018,18/05/2018,Community Housing,202,6,8,14,CASSOWARY COAST,HILL,2018,2018-05
7495,4701,1,Apartment,30/04/2018,14/05/2018,29/05/2018,Community Housing,206,14,15,29,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7496,4112,4,Apartment,4/05/2018,8/05/2018,21/05/2018,Community Housing,107,4,13,17,BRISBANE,STRETTON,2018,2018-05
7497,4510,3,Apartment,3/04/2018,4/04/2018,8/05/2018,Community Housing,103,1,34,35,MORETON BAY,MORAYFIELD,2018,2018-05
7498,4108,3,Detached House,10/05/2018,11/05/2018,21/05/2018,Community Housing,107,1,10,11,BRISBANE,TOOHEY,2018,2018-05
7500,4217,1,Apartment,30/04/2018,30/04/2018,21/05/2018,Community Housing,204,0,21,21,GOLD COAST,SURFERS PARADISE,2018,2018-05
7501,4217,1,Apartment,8/03/2018,16/03/2018,10/05/2018,Community Housing,204,8,55,63,GOLD COAST,SURFERS PARADISE,2018,2018-05
7502,4218,1,Detached House,16/04/2018,16/04/2018,10/05/2018,Community Housing,204,0,24,24,GOLD COAST,MERMAID BEACH,2018,2018-05
7503,4105,2,Apartment,4/05/2018,4/05/2018,17/05/2018,Community Housing,107,0,13,13,BRISBANE,TOOHEY,2018,2018-05
7504,4105,2,Apartment,24/04/2018,24/04/2018,17/05/2018,Community Housing,107,0,23,23,BRISBANE,TOOHEY,2018,2018-05
7506,4105,2,Dual Occupancy,30/04/2018,2/05/2018,2/05/2018,Community Housing,107,2,0,2,BRISBANE,TOOHEY,2018,2018-05
7507,4217,1,Detached House,10/05/2018,14/05/2018,21/05/2018,Community Housing,204,4,7,11,GOLD COAST,SURFERS PARADISE,2018,2018-05
7508,4160,3,Apartment,20/04/2018,9/05/2018,9/05/2018,Community Housing,106,19,0,19,REDLAND,CAPALABA,2018,2018-05
7509,4215,1,Apartment,3/05/2018,15/05/2018,17/05/2018,Community Housing,204,12,2,14,GOLD COAST,BONNEY,2018,2018-05
7510,4217,1,Apartment,14/05/2018,18/05/2018,24/05/2018,Community Housing,204,4,6,10,GOLD COAST,SURFERS PARADISE,2018,2018-05
7511,4157,2,Detached House,3/05/2018,21/05/2018,21/05/2018,Community Housing,106,18,0,18,REDLAND,CAPALABA,2018,2018-05
7512,4159,3,Detached House,3/05/2018,28/05/2018,28/05/2018,Community Housing,106,25,0,25,REDLAND,CAPALABA,2018,2018-05
7513,4814,3,Apartment,14/05/2018,27/05/2018,28/05/2018,Community Housing,201,13,1,14,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7514,4701,2,Detached House,15/05/2018,25/05/2018,25/05/2018,Community Housing,206,10,0,10,ROCKHAMPTON,KEPPEL,2018,2018-05
7515,4210,2,Apartment,1/05/2018,17/05/2018,21/05/2018,Community Housing,204,16,4,20,GOLD COAST,THEODORE,2018,2018-05
7517,4217,1,Apartment,10/05/2018,17/05/2018,21/05/2018,Community Housing,204,7,4,11,GOLD COAST,SURFERS PARADISE,2018,2018-05
7518,4870,1,Apartment,24/04/2018,2/05/2018,29/05/2018,Community Housing,202,8,27,35,CAIRNS,CAIRNS,2018,2018-05
7519,4012,3,Apartment,13/04/2018,8/05/2018,8/05/2018,Community Housing,105,25,0,25,BRISBANE,NUDGEE,2018,2018-05
7520,4163,2,Apartment,9/04/2018,10/04/2018,23/05/2018,Community Housing,106,1,43,44,REDLAND,OODGEROO,2018,2018-05
7521,4215,2,Apartment,1/05/2018,11/05/2018,21/05/2018,Community Housing,204,10,10,20,GOLD COAST,BONNEY,2018,2018-05
7522,4032,3,Apartment,10/05/2018,14/05/2018,17/05/2018,Community Housing,105,4,3,7,BRISBANE,STAFFORD,2018,2018-05
7523,4005,1,Apartment,16/05/2018,7/06/2018,7/06/2018,Community Housing,108,22,0,22,BRISBANE,MCCONNEL,2018,2018-06
7524,4122,3,Apartment,10/05/2018,11/05/2018,2/06/2018,Community Housing,107,1,22,23,BRISBANE,MANSFIELD,2018,2018-06
7525,4169,1,Apartment,29/05/2018,14/06/2018,14/06/2018,Community Housing,108,16,0,16,BRISBANE,SOUTH BRISBANE,2018,2018-06
7526,4169,1,Apartment,2/05/2018,12/06/2018,12/06/2018,Community Housing,108,41,0,41,BRISBANE,SOUTH BRISBANE,2018,2018-06
7527,4101,1,Duplex,29/05/2018,8/06/2018,8/06/2018,Community Housing,108,10,0,10,BRISBANE,SOUTH BRISBANE,2018,2018-06
7528,4101,1,Apartment,23/05/2018,4/06/2018,4/06/2018,Community Housing,108,12,0,12,BRISBANE,SOUTH BRISBANE,2018,2018-06
7529,4032,2,Apartment,4/05/2018,21/05/2018,13/06/2018,Public Housing,105,17,23,40,BRISBANE,STAFFORD,2018,2018-06
7530,4006,2,Apartment,6/06/2018,18/06/2018,18/06/2018,Community Housing,108,12,0,12,BRISBANE,MCCONNEL,2018,2018-06
7531,4006,1,Apartment,24/05/2018,25/05/2018,4/06/2018,Community Housing,108,1,10,11,BRISBANE,MCCONNEL,2018,2018-06
7532,4670,3,Apartment,21/02/2018,10/04/2018,11/06/2018,Public Housing,208,48,62,110,BUNDABERG,BUNDABERG,2018,2018-06
7533,4510,3,Apartment,8/06/2018,14/06/2018,26/06/2018,Community Housing,103,6,12,18,MORETON BAY,MORAYFIELD,2018,2018-06
7534,4870,1,Apartment,16/04/2018,17/04/2018,7/06/2018,Community Housing,202,1,51,52,CAIRNS,CAIRNS,2018,2018-06
7535,4870,1,Apartment,10/05/2018,10/05/2018,6/06/2018,Community Housing,202,0,27,27,CAIRNS,CAIRNS,2018,2018-06
7536,4508,3,Apartment,10/04/2018,13/04/2018,13/06/2018,Community Housing,103,3,61,64,MORETON BAY,BANCROFT,2018,2018-06
7537,4455,3,Apartment,1/11/2017,14/12/2017,29/06/2018,Community Housing,207,43,197,240,MARANOA,WARREGO,2018,2018-06
7538,4380,2,Apartment,18/05/2018,22/05/2018,5/06/2018,Community Housing,207,4,14,18,SOUTHERN DOWNS,SOUTHERN DOWNS,2018,2018-06
7539,4812,1,Apartment,19/06/2018,26/06/2018,27/06/2018,Community Housing,201,7,1,8,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7540,4812,2,Apartment,10/05/2018,12/06/2018,12/06/2018,Community Housing,201,33,0,33,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7541,4810,1,Apartment,25/04/2018,27/04/2018,3/06/2018,Community Housing,201,2,37,39,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7543,4880,1,Senior Unit,26/06/2018,27/06/2018,29/06/2018,Community Housing,202,1,2,3,MAREEBA,COOK,2018,2018-06
7544,4880,1,Detached House,17/05/2018,18/05/2018,18/06/2018,Community Housing,202,1,31,32,MAREEBA,COOK,2018,2018-06
7545,4701,3,Apartment,10/04/2018,4/06/2018,18/06/2018,Community Housing,206,55,14,69,ROCKHAMPTON,KEPPEL,2018,2018-06
7547,4849,3,Apartment,30/01/2018,5/02/2018,26/06/2018,Community Housing,202,6,141,147,CASSOWARY COAST,HINCHINBROOK,2018,2018-06
7548,4849,3,Apartment,26/06/2018,27/06/2018,27/06/2018,Community Housing,202,1,0,1,CASSOWARY COAST,HINCHINBROOK,2018,2018-06
7549,4877,1,Apartment,19/04/2018,24/04/2018,11/06/2018,Community Housing,202,5,48,53,DOUGLAS,COOK,2018,2018-06
7550,4670,1,Apartment,23/05/2018,11/06/2018,11/06/2018,Community Housing,208,19,0,19,BUNDABERG,BUNDABERG,2018,2018-06
7551,4659,1,Dual Occupancy,15/06/2018,27/06/2018,27/06/2018,Community Housing,213,12,0,12,FRASER COAST,MARYBOROUGH,2018,2018-06
7552,4659,1,Attached Housing,24/05/2018,31/05/2018,5/06/2018,Community Housing,213,7,5,12,FRASER COAST,MARYBOROUGH,2018,2018-06
7553,4873,1,Apartment,2/03/2018,5/03/2018,11/06/2018,Community Housing,202,3,98,101,DOUGLAS,COOK,2018,2018-06
7554,4756,2,Attached Housing,1/11/2017,14/12/2017,12/06/2018,Community Housing,203,43,180,223,MACKAY,MIRANI,2018,2018-06
7555,4756,2,Apartment,12/06/2018,13/06/2018,14/06/2018,Community Housing,203,1,1,2,MACKAY,MIRANI,2018,2018-06
7556,4895,2,Detached House,24/05/2018,24/05/2018,8/06/2018,Community Housing,202,0,15,15,COOK,COOK,2018,2018-06
7557,4655,4,Apartment,28/05/2018,8/06/2018,8/06/2018,Community Housing,213,11,0,11,FRASER COAST,HERVEY BAY,2018,2018-06
7558,4032,2,Apartment,26/06/2018,26/06/2018,29/06/2018,Community Housing,105,0,3,3,BRISBANE,STAFFORD,2018,2018-06
7559,4700,1,Apartment,23/05/2018,6/06/2018,6/06/2018,Community Housing,206,14,0,14,ROCKHAMPTON,ROCKHAMPTON,2018,2018-06
7560,4700,1,Apartment,13/06/2018,18/06/2018,27/06/2018,Community Housing,206,5,9,14,ROCKHAMPTON,ROCKHAMPTON,2018,2018-06
7561,4630,2,Apartment,1/11/2017,14/12/2017,13/06/2018,Community Housing,208,43,181,224,NORTH BURNETT,CALLIDE,2018,2018-06
7562,4019,1,Apartment,2/02/2018,20/02/2018,12/06/2018,Community Housing,110,18,112,130,MORETON BAY,REDCLIFFE,2018,2018-06
7563,4703,1,Apartment,30/04/2018,1/06/2018,1/06/2018,Community Housing,206,32,0,32,LIVINGSTONE,KEPPEL,2018,2018-06
7564,4122,1,Apartment,6/06/2018,7/06/2018,18/06/2018,Community Housing,107,1,11,12,BRISBANE,MANSFIELD,2018,2018-06
7565,4122,1,Apartment,25/05/2018,28/05/2018,18/06/2018,Community Housing,107,3,21,24,BRISBANE,MANSFIELD,2018,2018-06
7566,4740,1,Apartment,27/06/2018,28/06/2018,28/06/2018,Community Housing,203,1,0,1,MACKAY,MACKAY,2018,2018-06
7567,4740,1,Cluster Housing,24/05/2018,28/05/2018,6/06/2018,Community Housing,203,4,9,13,MACKAY,MACKAY,2018,2018-06
7568,4740,1,Cluster Housing,28/05/2018,4/06/2018,13/06/2018,Community Housing,203,7,9,16,MACKAY,MACKAY,2018,2018-06
7569,4740,1,Apartment,5/06/2018,11/06/2018,14/06/2018,Community Housing,203,6,3,9,MACKAY,MACKAY,2018,2018-06
7570,4812,1,Apartment,21/05/2018,25/05/2018,5/06/2018,Community Housing,201,4,11,15,TOWNSVILLE,MUNDINGBURRA,2018,2018-06
7571,4814,2,Apartment,18/04/2018,27/04/2018,7/06/2018,Community Housing,201,9,41,50,TOWNSVILLE,MUNDINGBURRA,2018,2018-06
7572,4007,1,Apartment,10/05/2018,12/06/2018,12/06/2018,Community Housing,108,33,0,33,BRISBANE,CLAYFIELD,2018,2018-06
7573,4007,1,Apartment,16/05/2018,24/05/2018,11/06/2018,Community Housing,108,8,18,26,BRISBANE,CLAYFIELD,2018,2018-06
7574,4030,1,Apartment,18/06/2018,26/06/2018,26/06/2018,Community Housing,108,8,0,8,BRISBANE,CLAYFIELD,2018,2018-06
7575,4812,1,Apartment,19/06/2018,22/06/2018,25/06/2018,Community Housing,201,3,3,6,TOWNSVILLE,MUNDINGBURRA,2018,2018-06
7576,4812,1,Apartment,24/05/2018,1/06/2018,5/06/2018,Community Housing,201,8,4,12,TOWNSVILLE,MUNDINGBURRA,2018,2018-06
7577,4814,2,Apartment,24/05/2018,6/06/2018,6/06/2018,Community Housing,201,13,0,13,TOWNSVILLE,MUNDINGBURRA,2018,2018-06
7578,4703,1,Apartment,15/05/2018,8/06/2018,28/06/2018,Community Housing,206,24,20,44,LIVINGSTONE,KEPPEL,2018,2018-06
7579,4670,1,Apartment,16/05/2018,23/05/2018,5/06/2018,Community Housing,208,7,13,20,BUNDABERG,BUNDABERG,2018,2018-06
7580,4701,1,Apartment,17/04/2018,20/04/2018,21/06/2018,Community Housing,206,3,62,65,ROCKHAMPTON,ROCKHAMPTON,2018,2018-06
7581,4510,1,Apartment,1/05/2018,18/05/2018,5/06/2018,Community Housing,103,17,18,35,MORETON BAY,MORAYFIELD,2018,2018-06
7582,4215,1,Attached Housing,23/05/2018,1/06/2018,5/06/2018,Community Housing,204,9,4,13,GOLD COAST,BONNEY,2018,2018-06
7583,4211,1,Apartment,11/06/2018,11/06/2018,26/06/2018,Community Housing,204,0,15,15,GOLD COAST,GAVEN,2018,2018-06
7584,4211,1,Apartment,11/06/2018,11/06/2018,26/06/2018,Community Housing,204,0,15,15,GOLD COAST,GAVEN,2018,2018-06
7585,4211,1,Apartment,5/04/2018,11/06/2018,26/06/2018,Community Housing,204,67,15,82,GOLD COAST,GAVEN,2018,2018-06
7586,4211,1,Apartment,5/04/2018,30/04/2018,21/06/2018,Community Housing,204,25,52,77,GOLD COAST,GAVEN,2018,2018-06
7587,4303,3,Apartment,30/05/2018,15/06/2018,18/06/2018,Community Housing,102,16,3,19,IPSWICH,BUNDAMBA,2018,2018-06
7589,4059,1,Apartment,14/06/2018,18/06/2018,18/06/2018,Community Housing,108,4,0,4,BRISBANE,MCCONNEL,2018,2018-06
7590,4020,1,Apartment,29/05/2018,12/06/2018,19/06/2018,Community Housing,110,14,7,21,MORETON BAY,REDCLIFFE,2018,2018-06
7591,4020,2,Apartment,13/03/2018,3/04/2018,13/06/2018,Community Housing,110,21,71,92,MORETON BAY,REDCLIFFE,2018,2018-06
7592,4812,2,Apartment,5/06/2018,12/06/2018,21/06/2018,Community Housing,201,7,9,16,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7593,4868,1,Apartment,17/05/2018,29/06/2018,29/06/2018,Community Housing,202,43,0,43,CAIRNS,MULGRAVE,2018,2018-06
7594,4105,1,Apartment,28/05/2018,30/05/2018,2/06/2018,Community Housing,107,2,3,5,BRISBANE,TOOHEY,2018,2018-06
7595,4105,1,Apartment,14/06/2018,15/06/2018,25/06/2018,Community Housing,107,1,10,11,BRISBANE,TOOHEY,2018,2018-06
7596,4105,1,Apartment,1/06/2018,6/06/2018,18/06/2018,Community Housing,107,5,12,17,BRISBANE,TOOHEY,2018,2018-06
7597,4012,1,Apartment,15/06/2018,15/06/2018,25/06/2018,Community Housing,105,0,10,10,BRISBANE,NUDGEE,2018,2018-06
7598,4870,3,Apartment,28/06/2018,29/06/2018,29/06/2018,Community Housing,202,1,0,1,CAIRNS,CAIRNS,2018,2018-06
7599,4870,2,Apartment,10/05/2018,10/05/2018,1/06/2018,Community Housing,202,0,22,22,CAIRNS,CAIRNS,2018,2018-06
7600,4870,2,Apartment,21/06/2018,28/06/2018,29/06/2018,Community Housing,202,7,1,8,CAIRNS,CAIRNS,2018,2018-06
7601,4164,4,Apartment,23/05/2018,19/06/2018,19/06/2018,Community Housing,106,27,0,27,REDLAND,REDLANDS,2018,2018-06
7602,4215,1,Apartment,13/03/2018,29/03/2018,13/06/2018,Community Housing,204,16,76,92,GOLD COAST,BONNEY,2018,2018-06
7603,4810,2,Apartment,12/06/2018,13/06/2018,24/06/2018,Community Housing,201,1,11,12,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7605,4010,1,Duplex,21/06/2018,29/06/2018,29/06/2018,Community Housing,108,8,0,8,BRISBANE,CLAYFIELD,2018,2018-06
7606,4810,2,Duplex,25/04/2018,26/04/2018,18/06/2018,Community Housing,201,1,53,54,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7607,4350,2,Duplex,2/08/2012,2/08/2012,25/06/2018,Community Housing,207,0,2153,2153,TOOWOOMBA,TOOWOOMBA NORTH,2018,2018-06
7609,4165,2,Detached House,5/06/2018,26/06/2018,26/06/2018,Community Housing,106,21,0,21,REDLAND,REDLANDS,2018,2018-06
7610,4810,1,Detached House,13/06/2018,14/06/2018,26/06/2018,Community Housing,201,1,12,13,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7612,4870,2,Detached House,27/04/2018,30/04/2018,28/06/2018,Community Housing,202,3,59,62,CAIRNS,CAIRNS,2018,2018-06
7613,4812,2,Apartment,7/06/2018,15/06/2018,28/06/2018,Community Housing,201,8,13,21,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7614,4810,1,Duplex,12/06/2018,15/06/2018,28/06/2018,Community Housing,201,3,13,16,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7615,4701,2,Duplex,4/06/2018,8/06/2018,27/06/2018,Community Housing,206,4,19,23,ROCKHAMPTON,ROCKHAMPTON,2018,2018-06
7616,4215,2,Duplex,6/04/2018,16/04/2018,15/06/2018,Community Housing,204,10,60,70,GOLD COAST,BONNEY,2018,2018-06
7617,4012,1,Apartment,15/06/2018,15/06/2018,25/06/2018,Community Housing,105,0,10,10,BRISBANE,NUDGEE,2018,2018-06
7618,4101,1,Apartment,6/03/2018,1/06/2018,1/06/2018,Community Housing,108,87,0,87,BRISBANE,SOUTH BRISBANE,2018,2018-06
7619,4101,1,Apartment,12/06/2018,22/06/2018,22/06/2018,Community Housing,108,10,0,10,BRISBANE,SOUTH BRISBANE,2018,2018-06
7620,4810,1,Apartment,21/05/2018,29/05/2018,19/06/2018,Community Housing,201,8,21,29,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7621,4805,1,Detached House,6/06/2018,15/06/2018,18/06/2018,Community Housing,203,9,3,12,WHITSUNDAY,BURDEKIN,2018,2018-06
7622,4133,2,Detached House,10/05/2018,11/05/2018,14/06/2018,Community Housing,101,1,34,35,LOGAN,WATERFORD,2018,2018-06
7623,4807,1,Dual Occupancy,31/05/2018,1/06/2018,12/06/2018,Community Housing,201,1,11,12,BURDEKIN,BURDEKIN,2018,2018-06
7624,4215,2,Apartment,17/05/2018,25/05/2018,5/06/2018,Community Housing,204,8,11,19,GOLD COAST,SOUTHPORT,2018,2018-06
7625,4700,2,Attached Housing,16/04/2018,26/04/2018,25/06/2018,Community Housing,206,10,60,70,ROCKHAMPTON,ROCKHAMPTON,2018,2018-06
7626,4703,1,Attached Housing,10/04/2018,14/05/2018,1/06/2018,Community Housing,206,34,18,52,LIVINGSTONE,KEPPEL,2018,2018-06
7627,4610,1,Cluster Housing,30/04/2018,30/04/2018,14/06/2018,Community Housing,213,0,45,45,SOUTH BURNETT,NANANGO,2018,2018-06
7628,4701,1,Apartment,12/06/2018,21/06/2018,28/06/2018,Community Housing,206,9,7,16,ROCKHAMPTON,ROCKHAMPTON,2018,2018-06
7629,4221,2,Attached Housing,18/05/2018,25/05/2018,13/06/2018,Community Housing,204,7,19,26,GOLD COAST,BURLEIGH,2018,2018-06
7630,4215,2,Apartment,13/06/2018,15/06/2018,15/06/2018,Community Housing,204,2,0,2,GOLD COAST,SOUTHPORT,2018,2018-06
7631,4031,2,Apartment,25/05/2018,6/06/2018,21/06/2018,Community Housing,105,12,15,27,BRISBANE,STAFFORD,2018,2018-06
7632,4013,2,Apartment,2/05/2018,4/06/2018,4/06/2018,Community Housing,105,33,0,33,BRISBANE,NUDGEE,2018,2018-06
7633,4350,1,Apartment,21/05/2018,28/05/2018,18/06/2018,Community Housing,207,7,21,28,TOOWOOMBA,TOOWOOMBA NORTH,2018,2018-06
7634,4670,3,Attached Housing,18/06/2018,20/06/2018,20/06/2018,Community Housing,208,2,0,2,BUNDABERG,BUNDABERG,2018,2018-06
7635,4157,3,Attached Housing,30/05/2018,21/06/2018,21/06/2018,Community Housing,106,22,0,22,REDLAND,CAPALABA,2018,2018-06
7636,4812,2,Detached House,13/06/2018,18/06/2018,21/06/2018,Community Housing,201,5,3,8,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7637,4812,2,Apartment,22/05/2018,25/05/2018,8/06/2018,Community Housing,201,3,14,17,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7638,4812,2,Apartment,22/05/2018,4/06/2018,6/06/2018,Community Housing,201,13,2,15,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7639,4812,2,Apartment,7/06/2018,13/06/2018,22/06/2018,Community Housing,201,6,9,15,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7640,4812,2,Apartment,12/06/2018,20/06/2018,21/06/2018,Community Housing,201,8,1,9,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7641,4810,2,Apartment,6/06/2018,12/06/2018,22/06/2018,Community Housing,201,6,10,16,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7642,4122,4,Apartment,1/06/2018,4/06/2018,18/06/2018,Community Housing,107,3,14,17,BRISBANE,MANSFIELD,2018,2018-06
7643,4221,2,Apartment,14/05/2018,17/05/2018,13/06/2018,Community Housing,204,3,27,30,GOLD COAST,BURLEIGH,2018,2018-06
7644,4215,2,Apartment,21/05/2018,29/05/2018,13/06/2018,Community Housing,204,8,15,23,GOLD COAST,SOUTHPORT,2018,2018-06
7645,4703,2,Apartment,15/05/2018,29/05/2018,25/06/2018,Community Housing,206,14,27,41,LIVINGSTONE,KEPPEL,2018,2018-06
7646,4122,4,Apartment,14/06/2018,15/06/2018,22/06/2018,Community Housing,107,1,7,8,BRISBANE,MANSFIELD,2018,2018-06
7647,4104,3,Apartment,28/05/2018,30/05/2018,2/06/2018,Community Housing,107,2,3,5,BRISBANE,MILLER,2018,2018-06
7648,4870,1,Apartment,27/04/2018,30/04/2018,6/06/2018,Community Housing,202,3,37,40,CAIRNS,CAIRNS,2018,2018-06
7649,4870,1,Apartment,29/05/2018,30/05/2018,19/06/2018,Community Housing,202,1,20,21,CAIRNS,CAIRNS,2018,2018-06
7650,4870,1,Detached House,29/05/2018,30/05/2018,8/06/2018,Community Housing,202,1,9,10,CAIRNS,CAIRNS,2018,2018-06
7651,4133,2,Apartment,10/05/2018,11/05/2018,14/06/2018,Community Housing,101,1,34,35,LOGAN,WATERFORD,2018,2018-06
7652,4740,2,Apartment,21/05/2018,6/06/2018,8/06/2018,Community Housing,203,16,2,18,MACKAY,MACKAY,2018,2018-06
7653,4870,2,Detached House,12/06/2018,15/06/2018,28/06/2018,Community Housing,202,3,13,16,CAIRNS,CAIRNS,2018,2018-06
7654,4810,2,Apartment,4/06/2018,5/06/2018,5/06/2018,Community Housing,201,1,0,1,TOWNSVILLE,TOWNSVILLE,2018,2018-06
7655,4703,2,Detached House,12/06/2018,21/06/2018,29/06/2018,Community Housing,206,9,8,17,LIVINGSTONE,KEPPEL,2018,2018-06
7656,4670,2,Apartment,12/06/2018,15/06/2018,18/06/2018,Community Housing,208,3,3,6,BUNDABERG,BUNDABERG,2018,2018-06
7657,4022,3,Apartment,17/04/2018,27/04/2018,19/06/2018,Community Housing,110,10,53,63,MORETON BAY,BANCROFT,2018,2018-06
7658,4006,1,Apartment,14/06/2018,18/06/2018,18/06/2018,Community Housing,108,4,0,4,BRISBANE,MCCONNEL,2018,2018-06
7660,4132,4,Detached House,4/01/2018,14/06/2018,14/06/2018,Community Housing,101,161,0,161,LOGAN,WOODRIDGE,2018,2018-06
7661,4032,4,Apartment,24/04/2018,24/04/2018,6/06/2018,Community Housing,105,0,43,43,BRISBANE,STAFFORD,2018,2018-06
7662,4163,2,Apartment,8/05/2018,13/06/2018,13/06/2018,Community Housing,106,36,0,36,REDLAND,OODGEROO,2018,2018-06
7663,4221,1,Attached Housing,17/05/2018,29/05/2018,5/06/2018,Community Housing,204,12,7,19,GOLD COAST,BURLEIGH,2018,2018-06
